,mfcc_mean,mfcc_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,chroma_mean,chroma_var,rms_mean,rms_var,rolloff_mean,rolloff_var,zero_cross_mean,zero_cross_var,tempo,label
blues.00000.wav,3.117405414581299,2685.091552734375,1784.416545970319,129739.83727264129,2002.6571063943209,85829.34594927105,0.34995052218437195,0.08875215798616409,0.13019199669361115,0.002830371493473649,3806.4186497738488,901329.6602966429,0.08306639113293343,0.0007667342953635373,123.046875,blues
blues.00001.wav,-0.011523289605975151,5516.6337890625,1529.8713140945188,376011.6503525573,2038.612142757291,213889.8740845534,0.3409450948238373,0.09496805816888809,0.09589168429374695,0.0023740322794765234,3548.9868730952494,2976792.419586478,0.056044256724071206,0.0014485033470784323,107.666015625,blues
blues.00002.wav,3.3614141941070557,2808.61474609375,1552.6377863181906,156538.29460476077,1747.3820283016641,76150.68872314435,0.36356183886528015,0.08527723699808121,0.17549368739128113,0.002752594882622361,3041.0899442784926,782946.5225498029,0.07630074799245357,0.0010072891555751452,161.4990234375,blues
blues.00003.wav,0.8785794973373413,5451.689453125,1070.1100585189854,184506.65547626512,1596.2442041849338,166637.5683581293,0.4048483669757843,0.09401796758174896,0.1411392092704773,0.006339856889098883,2185.0617872303114,1494194.063112875,0.03330894446594427,0.0004230743810646026,172.265625,blues
blues.00004.wav,-9.650853157043457,4000.63671875,1835.507008401494,343334.2370321883,1748.367476724937,88460.06121566486,0.3085981607437134,0.0878504291176796,0.09154040366411209,0.00230505526997149,3581.003346162684,1572132.8216511165,0.1015001421004257,0.001953508818485157,135.99917763157896,blues
blues.00005.wav,-8.226527214050293,4653.78564453125,1831.9900685948746,1031295.6028286342,1729.4562589469806,201999.8081862161,0.30241402983665466,0.08756200224161148,0.10343772172927856,0.003983733709901571,3480.8539517523704,3276452.4461247083,0.09403986975135449,0.006237169845177415,112.34714673913044,blues
blues.00006.wav,-7.915309906005859,5460.77099609375,1459.0353761872718,438118.03207473573,1388.725515468785,185132.01320145163,0.29140564799308777,0.09400270879268646,0.14168789982795715,0.008782833814620972,2795.67476160386,1622690.8513254016,0.07302790308146284,0.0019095948180740175,123.046875,blues
blues.00007.wav,-4.554649829864502,4964.4931640625,1451.8494584581745,449937.66238268,1577.5518583197475,168258.25607457184,0.30731454491615295,0.09284914284944534,0.13174523413181305,0.005535202566534281,2955.7654602239745,1630564.829502154,0.06143500266060371,0.001850010001473945,92.28515625,blues
blues.00008.wav,3.484419345855713,2954.238037109375,1719.2739373344168,163389.6533189732,2031.6873439502422,105613.2042500403,0.40899816155433655,0.08651966601610184,0.1423606276512146,0.0015028987545520067,3781.5188003398316,1262995.5252842957,0.06402757957623839,0.0007318890633277895,83.35433467741936,blues
blues.00009.wav,-6.92421817779541,5399.94140625,1817.5295464146707,298256.53065985383,1973.6903092151892,114209.09382088842,0.2740142345428467,0.09232655167579651,0.08132097870111465,0.004347413778305054,3944.584480970637,1367139.0996854836,0.0792153184258901,0.001376557806953003,129.19921875,blues
blues.00010.wav,-4.600435256958008,4794.2138671875,1410.675357056207,205315.13237263463,1512.9717892723254,144928.97087822107,0.30396512150764465,0.09471249580383301,0.14286480844020844,0.009196140803396702,2767.5082652561437,1425856.5934589223,0.06298072271671827,0.00044122267994763987,161.4990234375,blues
blues.00011.wav,-8.579292297363281,8307.6220703125,1353.3291189300644,511903.7112719793,1757.331004406929,220219.00017630777,0.36580705642700195,0.10200661420822144,0.06568456441164017,0.002500544534996152,2882.31590436339,2932662.4647420235,0.04395891785990712,0.001896140560074861,161.4990234375,blues
blues.00012.wav,-2.1759378910064697,5590.73681640625,1361.1004062354928,257055.09867830525,1567.6007717770153,44930.8999666135,0.2693325877189636,0.09390930086374283,0.1190238893032074,0.004056849051266909,2739.791766187355,952584.560432031,0.06912392064144737,0.002381275203555497,92.28515625,blues
blues.00013.wav,-1.7678076028823853,5141.6552734375,1324.3317542217217,171640.59788434743,1827.3844642890322,78116.61799334495,0.26472628116607666,0.09117027372121811,0.1131889671087265,0.004191448446363211,2710.3669441152283,1075616.7903566298,0.051417300575657895,0.0012560154024389564,107.666015625,blues
blues.00014.wav,-5.842911720275879,9272.849609375,1172.2763008557504,147284.80394618728,1705.8583767615455,96366.98167102103,0.32904085516929626,0.10804759711027145,0.06693624705076218,0.0027087945491075516,2345.777482071159,877026.8914307908,0.045045834945820436,0.0015610299115303048,151.99908088235293,blues
blues.00015.wav,-4.2533063888549805,6240.9677734375,1420.4114787701462,200099.33381774492,1730.9171016184673,81321.46445136554,0.2703465521335602,0.09533810615539551,0.08063894510269165,0.0028313372749835253,2930.240614569224,700506.7356681537,0.0637176797116873,0.0019420992387825483,99.38401442307692,blues
blues.00016.wav,-3.6595656871795654,6137.82275390625,1455.0424713770037,152403.65978976965,1825.9090251786272,116846.11122946319,0.30829644203186035,0.10034230351448059,0.08141902089118958,0.0026416704058647156,3009.9651324859715,1011007.1606190647,0.061350725014512386,0.0014195843289450563,103.359375,blues
blues.00017.wav,-1.5104527473449707,7137.228515625,1088.7781161784512,231785.62640585093,1410.8359525015333,69785.77652661943,0.30223947763442993,0.0934390127658844,0.09325911104679108,0.0021518226712942123,2134.7537581027477,1081844.543650769,0.04832397083010836,0.0008456542090873088,161.4990234375,blues
blues.00018.wav,-4.782435417175293,6355.23583984375,1537.5609192674106,193292.8260446633,2054.224165444145,145539.22964641041,0.2700793147087097,0.09769908338785172,0.07964064180850983,0.002956752898171544,3495.4621967516446,1829696.320142,0.056131935710139316,0.0017231547321391286,83.35433467741936,blues
blues.00019.wav,-3.627431869506836,6665.013671875,1195.4133983085592,249722.3647915795,1480.9442638678327,46905.405997069254,0.25735947489738464,0.096025750041008,0.09763429313898087,0.0025787195190787315,2235.2114839819565,1208625.5855992353,0.05887114817143963,0.0017991580841696208,123.046875,blues
blues.00020.wav,-3.4003939628601074,5889.61767578125,1389.9522837601064,102922.35382313876,1911.3143992689486,88742.93355536429,0.30279943346977234,0.09436096251010895,0.07535404711961746,0.0024883723817765713,3005.7401580338137,946450.7362797129,0.05256015080785604,0.0006156241764708421,135.99917763157896,blues
blues.00021.wav,-1.7152447700500488,7920.61865234375,1046.7275070203582,291681.50755796226,1480.5791610107572,70101.96387542793,0.3211421072483063,0.10328488796949387,0.10111809521913528,0.00323196011595428,1831.1222607875386,1349312.3117367646,0.04793735185274768,0.002331948338808487,99.38401442307692,blues
blues.00022.wav,-0.5275300145149231,6664.849609375,1156.202363121507,314244.48262967425,1497.7588839195848,59086.451638639286,0.306441992521286,0.09801650792360306,0.11343149840831757,0.00368684739805758,2170.511875211639,1331126.0202191295,0.05861340218653251,0.002867745893127177,99.38401442307692,blues
blues.00023.wav,-4.320336818695068,6318.57373046875,1210.4571260262846,131830.44295279996,1498.0546093390135,51648.624336775116,0.28072091937065125,0.09116531163454056,0.1019149050116539,0.0035603041760623455,2522.5430798604393,610244.5789439466,0.052482675841718264,0.0010882949479228713,95.703125,blues
blues.00024.wav,-3.8945395946502686,8198.0458984375,1120.39098022859,176408.83617593622,1447.852625055179,53821.61398962209,0.2631080448627472,0.09998005628585815,0.08696161210536957,0.002512088743969798,2325.127606938129,1139107.8707744433,0.047297899937113,0.0010792057276398255,103.359375,blues
blues.00025.wav,-2.1688990592956543,7022.5419921875,1109.721378629315,138691.39699615442,1463.539070397656,37834.7185656505,0.2909806966781616,0.09107311815023422,0.08917960524559021,0.0031165641266852617,2243.744765715702,838855.8213959961,0.05172493288022446,0.0013392907439446057,92.28515625,blues
blues.00026.wav,-5.689072132110596,8104.8544921875,1198.7544985722177,161883.0347979553,1573.0851132732269,83785.46998640391,0.27866604924201965,0.09501959383487701,0.07693855464458466,0.005918249487876892,2478.8266775408765,991671.4782796679,0.051987591911764705,0.0014876887308098842,83.35433467741936,blues
blues.00027.wav,-4.7926344871521,6169.8212890625,1391.443903745914,200153.14323670618,1494.8508338204413,43500.50391003034,0.2887045443058014,0.0941619873046875,0.09572528302669525,0.0021939377766102552,2811.1413347462753,541210.865487979,0.07235897288602941,0.0025428603270127243,95.703125,blues
blues.00028.wav,-3.9641566276550293,7157.9560546875,1115.541195251936,105590.00027422902,1398.5093836910733,52819.38499842766,0.2760108709335327,0.09885107725858688,0.09958247095346451,0.004105066880583763,2290.3194840847523,638308.461004343,0.04802843217879257,0.0008170362000089285,103.359375,blues
blues.00029.wav,-9.018686294555664,5656.87548828125,1649.2877536970097,712532.7955774792,2190.221833503233,185313.28204096627,0.28055399656295776,0.1056601032614708,0.12466930598020554,0.004816713277250528,3761.610587388738,4160715.0657427623,0.05292636174535604,0.0032485986014382977,129.19921875,blues
blues.00030.wav,-6.990480899810791,4959.26025390625,1378.9657764881297,551395.198690979,2003.5852163311847,269771.1607666613,0.26312941312789917,0.09437651932239532,0.1700301468372345,0.0031940818298608065,3015.0567683642125,4576870.003627484,0.03937580120452786,0.0009461477223050415,151.99908088235293,blues
